Id,Name,Number of Recordings,Latitude,Longitude,Altitude,Timezone,Skip,Group
48469,2023 Wind Wolves Preserve Site 2,7858,34.9395,-119.2967,901,America/Los_Angeles,,Wind Wolves Preserve
65444,2024 Baja Lago Mesa Redonda,6739,32.3730,-116.8790,503,America/Tijuana,,Baja
65446,2024 Baja Rancho Cinega Redonda 1,8446,32.5380,-116.3180,972,America/Tijuana,,Baja
65447,2024 Baja Rancho Cinega Redonda 2,7172,32.5320,-116.3180,969,America/Tijuana,,Baja
65453,2024 Colusa NWR T27.1,9453,39.1410,-122.0280,14,America/Los_Angeles,,Sacramento National Wildlife Refuge Complex
65454,2024 Colusa NWR T27.2,6825,39.1375,-122.0280,14,America/Los_Angeles,,Sacramento National Wildlife Refuge Complex
65455,2024 Delevan T43,0,39.2799,-122.1050,18,America/Los_Angeles,Y,Sacramento National Wildlife Refuge Complex
63115,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,6184,37.7463,-121.7430,182,America/Los_Angeles,,CNLM
65456,2024 Kern 1 - check lat lon,9029,35.6700,-118.3070,804,America/Los_Angeles,,Southern Sierra Research Station
63044,2024 Los Vaqueros Reservoir,7227,37.8377,-121.6960,82,America/Los_Angeles,,Los Vaqueros
63085,2024 Markham Ravine 1,1221,38.8897,-121.4590,19,America/Los_Angeles,,Markham Ravine
63088,2024 Markham Ravine 2,1224,38.8898,-121.4620,18,America/Los_Angeles,Dupe,Markham Ravine
63113,2024 Markham Ravine 3,1229,38.8897,-121.4650,18,America/Los_Angeles,Dupe,Markham Ravine
63114,2024 Merced NWR - Cottonwood Trail,5612,37.1989,-120.5990,34,America/Los_Angeles,,Merced and San Luis NWR
63087,2024 Moore Lake - confirm lat lon,5912,36.4589,-121.7990,411,America/Los_Angeles,,Monterey
66012,2024 Newberry Springs,1639,34.8770,-116.6060,549,America/Los_Angeles,,San Bernardino
77023,2024 North Regional Pond,3374,38.6640,-121.7120,10,America/Los_Angeles,,Central Sacramento Valley
63049,2024 Ohlone - Santa Lucia Preserve,5908,36.4692,-121.7937,318,America/Los_Angeles,,Monterey
63086,2024 OR Eureka Lane,5110,44.57821,-121.19382,769,America/Los_Angeles,,Oregon
65471,2024 Panoche Creek Preserve - Dollar Marsh East,7788,36.5905,-120.7694,313,America/Los_Angeles,,CNLM
65469,2024 Panoche Creek Preserve - Dollar Marsh South,7736,36.5892,-120.7707,317,America/Los_Angeles,Dupe,CNLM
65470,2024 Panoche Creek Preserve - Dollar Marsh West,7790,36.5919,-120.7723,315,America/Los_Angeles,Dupe,CNLM
63656,2024 Rancho Jamul - Main Pond 1,9409,,,236,America/Los_Angeles,,Rancho Jamul
63657,2024 Rancho Jamul - Main Pond 2,7386,,,236,America/Los_Angeles,Dupe,Rancho Jamul
63468,2024 Rancho Jamul - North Pond,6096,,,236,America/Los_Angeles,,Rancho Jamul
63738,2024 Sedgwick,8740,34.6950,-120.0420,343,America/Los_Angeles,,Sedgwick
63089,2024 SJWA Thistle NW of Bridge Street Pond,1224,33.8624,-117.0760,435,America/Los_Angeles,,San Jacinto Wildlife Area
63116,2024 WA Harder Spring,9452,46.6570,-118.4990,276,America/Los_Angeles,,Washington
63465,2024 WA McCain Pond,9011,48.8520,-119.1830,1244,America/Los_Angeles,,Washington
65481,2024 Wind Wolves Preserve - Los Lobos,9322,34.9490,-119.2150,665,America/Los_Angeles,,Wind Wolves Preserve
65482,2024 Wind Wolves Preserve - Pleitito,7337,34.9536,-119.1407,817,America/Los_Angeles,,Wind Wolves Preserve
65483,2024 Wind Wolves Preserve - Santiago,8187,34.9391,-119.2964,741,America/Los_Angeles,,Wind Wolves Preserve
65480,2024 Wind Wolves Preserve - Tevis,9174,34.9446,-119.2040,901,America/Los_Angeles,,Wind Wolves Preserve
48479,Bad - 2022 Panoche Creek Loc 4,1644,36.5910,-120.7690,100,America/Los_Angeles,Y,Bad/Delete
48881,Bad - 2022 Panoche Creek loc 4 try2,1644,36.5910,-120.7690,100,America/Los_Angeles,Y,Bad/Delete
52596,Bad - 2022 Panoche Creek Preserve Loc3,0,36.5910,-120.5910,100,America/Los_Angeles,Y,Bad/Delete
44956,Bad - Delete 2023 Panoche Creek - corrals SE,3164,36.5875,-120.7650,100,America/Los_Angeles,Y,Bad/Delete
44867,Bad Delete - 2023 Panoche Creek - Corrals NW,3162,36.5879,-120.7670,100,America/Los_Angeles,Y,Bad/Delete
48880,Bad Delete - Panoche Creek - Corrals SE try 2,3163,36.5875,-120.7650,100,America/Los_Angeles,Y,Bad/Delete
48879,Bad Delete 2023 Panoche Creek - Corrals NW try 2,3162,36.5879,-120.7670,100,America/Los_Angeles,Y,Bad/Delete
34486,Bad time - delete - 2022 Baja 2,8235,32.5380,-116.3180,100,America/Tijuana,Y,Bad/Delete
48878,Old - 2022 Panoche Creek Preserve loc3,6992,36.5910,-120.5910,100,America/Los_Angeles,Y,Bad/Delete
53734,TestAM01,2,38.0000,-122.0000,0,America/Los_Angeles,Y,Bad/Delete
53733,TestAM22,0,38.0000,-122.0000,0,America/Los_Angeles,Y,Bad/Delete
53732,TestAM77,0,38.0000,-121.0000,0,America/Los_Angeles,Y,Bad/Delete
8066,testing,242,,,0,Etc/GMT,Y,Bad/Delete
32016,Testing Data 2021 RG1,227,38.8630,-121.2870,50,America/Los_Angeles,Y,Bad/Delete
32010,Training Data 2021 PA,21,39.0300,-121.5370,17,America/Los_Angeles,#N/A,Bad/Delete
32015,Training data 2021 RG1,227,38.8630,-121.2870,50,America/Los_Angeles,#N/A,Bad/Delete
