site,date,tmax,tmin,prcp,S1 Tmax,S1 Tmin,S1 Prcp,S2 Tmax,S2 Tmin,S2 Prcp,S3 Tmax,S3 Tmin,S3 Prcp
2017 Rush Ranch,2017-01-01,55.0,39.0,0.0,53.0,39.0,0.0,55.0,42.0,0.0,59.0,33.0,0.0
2017 Rush Ranch,2017-01-02,55.0,40.0,0.11,50.0,40.0,0.11,55.0,42.0,0.2,55.0,37.0,0.0
2017 Rush Ranch,2017-01-03,52.0,44.0,0.3,49.0,44.0,1.61,53.0,45.0,0.3,52.0,40.0,0.2
2017 Rush Ranch,2017-01-04,54.0,47.0,0.9,54.0,47.0,0.9,57.0,51.0,0.8,52.0,44.0,2.37
2017 Rush Ranch,2017-01-05,51.0,38.0,0.07,51.0,37.0,0.03,51.0,41.0,0.35,55.0,38.0,0.07
2017 Rush Ranch,2017-01-06,50.0,31.0,0.0,48.0,28.0,0.0,50.0,31.0,0.0,50.0,31.0,0.0
2017 Rush Ranch,2017-01-07,55.0,38.0,0.64,55.0,38.0,0.64,60.0,40.0,0.28,46.0,33.0,1.15
2017 Rush Ranch,2017-01-08,60.0,54.0,2.01,60.0,54.0,2.01,62.0,55.0,1.66,56.0,39.0,2.43
2017 Rush Ranch,2017-01-09,60.0,49.0,0.85,59.0,49.0,0.26,60.0,52.0,0.85,61.0,49.0,2.32
2017 Rush Ranch,2017-01-10,58.0,49.0,1.45,58.0,51.0,3.16,57.0,42.0,1.45,58.0,49.0,0.57
2017 Rush Ranch,2017-01-11,59.0,48.0,1.2,57.0,47.0,0.0,59.0,50.0,1.2,59.0,48.0,2.83
2017 Rush Ranch,2017-01-12,56.0,44.0,0.36,47.0,42.0,0.36,58.0,44.0,0.19,56.0,44.0,0.46
2017 Rush Ranch,2017-01-13,57.0,37.0,0.0,57.0,36.0,0.0,59.0,37.0,0.0,49.0,37.0,0.02
2017 Rush Ranch,2017-01-14,59.0,37.0,0.0,54.0,37.0,0.0,59.0,37.0,0.0,59.0,35.0,0.0
2017 Rush Ranch,2017-01-15,55.0,36.0,0.0,51.0,35.0,0.0,55.0,39.0,0.0,58.0,36.0,0.0
2017 Rush Ranch,2017-01-16,54.0,34.0,0.0,51.0,34.0,0.0,54.0,36.0,0.0,54.0,32.0,0.0
2017 Rush Ranch,2017-01-17,54.0,36.0,0.0,51.0,36.0,0.0,54.0,36.0,0.0,54.0,32.0,0.0
2017 Rush Ranch,2017-01-18,48.0,41.0,0.4,48.0,41.0,1.29,51.0,43.0,0.4,45.0,34.0,0.12
2017 Rush Ranch,2017-01-19,57.0,43.0,0.91,57.0,45.0,0.91,59.0,43.0,0.6,50.0,42.0,2.42
2017 Rush Ranch,2017-01-20,59.0,45.0,1.02,55.0,46.0,1.02,59.0,42.0,0.8,60.0,45.0,1.2
2017 Rush Ranch,2017-01-21,56.0,45.0,0.18,56.0,45.0,0.0,59.0,52.0,0.22,55.0,45.0,0.18
2017 Rush Ranch,2017-01-22,57.0,46.0,1.46,57.0,42.0,1.46,58.0,47.0,0.25,55.0,46.0,1.91
2017 Rush Ranch,2017-01-23,53.0,39.0,0.2,51.0,39.0,0.09,53.0,43.0,0.4,58.0,39.0,0.2
2017 Rush Ranch,2017-01-24,54.0,41.0,0.02,55.0,41.0,0.02,54.0,42.0,0.0,54.0,39.0,0.03
2017 Rush Ranch,2017-01-25,55.0,36.0,0.0,55.0,36.0,0.0,56.0,36.0,0.0,55.0,35.0,0.0
2017 Rush Ranch,2017-01-26,57.0,37.0,0.0,57.0,40.0,0.0,57.0,36.0,0.0,55.0,37.0,0.0
2017 Rush Ranch,2017-01-27,60.0,36.0,0.0,60.0,41.0,0.0,60.0,36.0,0.0,58.0,33.0,0.0
2017 Rush Ranch,2017-01-28,60.0,37.0,0.0,60.0,37.0,0.0,61.0,36.0,0.0,60.0,37.0,0.0
2017 Rush Ranch,2017-01-29,61.0,36.0,0.0,61.0,36.0,0.0,63.0,35.0,0.0,59.0,38.0,0.0
2017 Rush Ranch,2017-01-30,62.0,37.0,0.0,62.0,37.0,0.0,62.0,36.0,0.0,63.0,40.0,0.0
2017 Rush Ranch,2017-01-31,61.0,37.0,0.0,61.0,37.0,0.0,60.0,36.0,0.0,63.0,39.0,0.0
2017 Rush Ranch,2017-02-01,58.0,40.0,0.0,53.0,42.0,0.0,58.0,36.0,0.0,58.0,40.0,0.0
2017 Rush Ranch,2017-02-02,60.0,46.0,0.37,60.0,46.0,0.37,65.0,48.0,0.1,53.0,42.0,0.76
2017 Rush Ranch,2017-02-03,61.0,53.0,0.83,61.0,53.0,0.94,65.0,56.0,0.7,58.0,45.0,0.83
2017 Rush Ranch,2017-02-04,60.0,52.0,0.24,59.0,53.0,0.45,65.0,52.0,0.24,60.0,52.0,0.16
2017 Rush Ranch,2017-02-05,60.0,46.0,0.02,60.0,46.0,0.17,62.0,47.0,0.0,60.0,45.0,0.02
2017 Rush Ranch,2017-02-06,59.0,53.0,0.37,58.0,53.0,0.37,59.0,53.0,0.35,62.0,47.0,0.78
2017 Rush Ranch,2017-02-07,62.0,54.0,2.03,62.0,54.0,2.03,63.0,54.0,1.55,61.0,52.0,2.32
2017 Rush Ranch,2017-02-08,64.0,56.0,0.4,61.0,56.0,1.05,64.0,56.0,0.4,67.0,55.0,0.38
2017 Rush Ranch,2017-02-09,63.0,57.0,0.55,62.0,57.0,0.77,63.0,59.0,0.55,64.0,56.0,0.09
2017 Rush Ranch,2017-02-10,63.0,52.0,0.1,63.0,52.0,0.01,64.0,55.0,0.1,60.0,52.0,0.92
2017 Rush Ranch,2017-02-11,65.0,45.0,0.0,66.0,41.0,0.0,65.0,45.0,0.0,65.0,46.0,0.0
2017 Rush Ranch,2017-02-12,65.0,43.0,0.0,65.0,43.0,0.0,67.0,40.0,0.0,65.0,51.0,0.0
2017 Rush Ranch,2017-02-13,67.0,41.0,0.0,62.0,41.0,0.0,67.0,42.0,0.0,67.0,40.0,0.0
2017 Rush Ranch,2017-02-14,67.0,43.0,0.0,67.0,43.0,0.0,67.0,46.0,0.0,60.0,42.0,0.0
2017 Rush Ranch,2017-02-15,67.0,49.0,0.0,62.0,50.0,0.0,67.0,49.0,0.0,68.0,45.0,0.0
2017 Rush Ranch,2017-02-16,64.0,49.0,0.25,64.0,53.0,0.26,67.0,49.0,0.25,62.0,44.0,0.24
2017 Rush Ranch,2017-02-17,67.0,49.0,0.47,57.0,50.0,0.98,67.0,49.0,0.45,67.0,48.0,0.47
2017 Rush Ranch,2017-02-18,59.0,50.0,0.5,59.0,51.0,0.5,59.0,50.0,0.2,55.0,50.0,2.3
2017 Rush Ranch,2017-02-19,57.0,46.0,0.15,55.0,46.0,0.37,57.0,47.0,0.07,62.0,45.0,0.15
2017 Rush Ranch,2017-02-20,55.0,50.0,1.17,55.0,50.0,2.73,58.0,52.0,0.9,55.0,46.0,1.17
2017 Rush Ranch,2017-02-21,59.0,50.0,1.2,59.0,49.0,0.3,60.0,50.0,1.2,59.0,51.0,1.86
2017 Rush Ranch,2017-02-22,56.0,41.0,0.08,56.0,40.0,0.08,56.0,42.0,0.0,60.0,41.0,0.11
2017 Rush Ranch,2017-02-23,56.0,39.0,0.0,56.0,40.0,0.08,56.0,39.0,0.0,57.0,39.0,0.0
2017 Rush Ranch,2017-02-24,56.0,36.0,0.0,56.0,38.0,0.01,56.0,36.0,0.0,57.0,33.0,0.0
2017 Rush Ranch,2017-02-25,55.0,35.0,0.0,55.0,33.0,0.0,60.0,36.0,0.0,55.0,35.0,0.0
2017 Rush Ranch,2017-02-26,56.0,35.0,0.0,55.0,35.0,0.0,59.0,35.0,0.0,56.0,37.0,0.0
2017 Rush Ranch,2017-02-27,58.0,39.0,0.0,56.0,35.0,0.0,58.0,40.0,0.0,60.0,39.0,0.0
2017 Rush Ranch,2017-02-28,59.0,39.0,0.0,59.0,39.0,0.0,61.0,38.0,0.0,57.0,41.0,0.0
2017 Rush Ranch,2017-03-01,63.0,38.0,0.0,63.0,39.0,0.0,64.0,38.0,0.0,61.0,38.0,0.0
2017 Rush Ranch,2017-03-02,67.0,38.0,0.0,66.0,39.0,0.0,68.0,38.0,0.0,67.0,38.0,0.0
2017 Rush Ranch,2017-03-03,69.0,42.0,0.0,67.0,42.0,0.0,69.0,38.0,0.0,70.0,42.0,0.0
2017 Rush Ranch,2017-03-04,67.0,45.0,0.0,67.0,45.0,0.03,68.0,49.0,0.0,67.0,43.0,0.0
2017 Rush Ranch,2017-03-05,60.0,42.0,0.35,55.0,40.0,0.78,60.0,43.0,0.32,62.0,42.0,0.35
2017 Rush Ranch,2017-03-06,55.0,40.0,0.1,55.0,40.0,0.11,57.0,41.0,0.1,50.0,39.0,0.08
2017 Rush Ranch,2017-03-07,58.0,39.0,0.0,58.0,39.0,0.0,61.0,40.0,0.0,57.0,38.0,0.0
2017 Rush Ranch,2017-03-08,68.0,42.0,0.0,68.0,43.0,0.0,70.0,42.0,0.0,58.0,42.0,0.0
2017 Rush Ranch,2017-03-09,73.0,45.0,0.0,73.0,50.0,0.0,74.0,43.0,0.0,70.0,45.0,0.0
2017 Rush Ranch,2017-03-10,73.0,52.0,0.0,73.0,52.0,0.0,73.0,54.0,0.0,75.0,51.0,0.0
2017 Rush Ranch,2017-03-11,76.0,50.0,0.0,76.0,51.0,0.0,76.0,50.0,0.0,75.0,50.0,0.0
2017 Rush Ranch,2017-03-12,78.0,50.0,0.0,76.0,49.0,0.0,78.0,50.0,0.0,78.0,52.0,0.0
2017 Rush Ranch,2017-03-13,79.0,49.0,0.0,76.0,47.0,0.0,79.0,49.0,0.0,81.0,49.0,0.0
2017 Rush Ranch,2017-03-14,79.0,51.0,0.0,78.0,51.0,0.0,79.0,49.0,0.0,80.0,51.0,0.0
2017 Rush Ranch,2017-03-15,77.0,51.0,0.0,74.0,51.0,0.0,77.0,49.0,0.0,82.0,51.0,0.0
2017 Rush Ranch,2017-03-16,74.0,54.0,0.0,74.0,54.0,0.0,73.0,55.0,0.0,77.0,54.0,0.0
2017 Rush Ranch,2017-03-17,75.0,48.0,0.0,75.0,48.0,0.0,77.0,48.0,0.0,75.0,47.0,0.0
2017 Rush Ranch,2017-03-18,79.0,53.0,0.0,73.0,53.0,0.0,79.0,48.0,0.0,80.0,53.0,0.0
2017 Rush Ranch,2017-03-19,70.0,53.0,0.0,70.0,52.0,0.0,70.0,54.0,0.0,74.0,53.0,0.0
2017 Rush Ranch,2017-03-20,69.0,52.0,0.0,63.0,54.0,0.22,69.0,52.0,0.0,74.0,50.0,0.0
2017 Rush Ranch,2017-03-21,66.0,54.0,1.6,66.0,55.0,1.6,69.0,52.0,0.6,64.0,54.0,1.74
2017 Rush Ranch,2017-03-22,67.0,50.0,0.5,62.0,50.0,0.0,68.0,51.0,0.5,67.0,50.0,0.76
2017 Rush Ranch,2017-03-23,63.0,43.0,0.0,63.0,43.0,0.0,64.0,45.0,0.0,63.0,41.0,0.0
2017 Rush Ranch,2017-03-24,65.0,49.0,0.25,57.0,49.0,0.56,65.0,52.0,0.25,67.0,41.0,0.1
2017 Rush Ranch,2017-03-25,65.0,49.0,0.06,65.0,45.0,0.06,65.0,49.0,0.0,55.0,49.0,0.56
2017 Rush Ranch,2017-03-26,65.0,47.0,0.0,62.0,46.0,0.07,65.0,48.0,0.0,68.0,47.0,0.0
2017 Rush Ranch,2017-03-27,65.0,48.0,0.02,66.0,43.0,0.06,65.0,48.0,0.0,63.0,49.0,0.02
2017 Rush Ranch,2017-03-28,74.0,51.0,0.0,74.0,51.0,0.0,75.0,47.0,0.0,68.0,51.0,0.0
2017 Rush Ranch,2017-03-29,77.0,51.0,0.0,77.0,51.0,0.0,77.0,47.0,0.0,73.0,51.0,0.0
2017 Rush Ranch,2017-03-30,78.5,53.0,0.0,,52.0,0.0,78.0,53.0,0.0,79.0,54.0,0.0
2017 Rush Ranch,2017-03-31,72.0,51.0,0.0,73.0,51.0,0.0,72.0,53.0,0.0,67.0,51.0,0.0
2017 Rush Ranch,2017-04-01,77.0,50.0,0.0,77.0,55.0,0.0,78.0,50.0,0.0,72.0,50.0,0.0
2017 Rush Ranch,2017-04-02,82.0,51.0,0.0,82.0,50.0,0.0,80.0,52.0,0.0,83.0,51.0,0.0
2017 Rush Ranch,2017-04-03,80.5,51.0,0.0,,49.0,0.0,80.0,51.0,0.0,81.0,52.0,0.0
2017 Rush Ranch,2017-04-04,78.0,52.0,0.0,73.0,48.0,0.0,78.0,52.0,0.0,78.0,52.0,0.0
2017 Rush Ranch,2017-04-05,75.0,51.0,0.0,74.0,49.0,0.0,75.0,53.0,0.0,79.0,51.0,0.0
2017 Rush Ranch,2017-04-06,75.0,51.0,0.0,69.0,51.0,0.0,75.0,57.0,0.0,78.0,48.0,0.0
2017 Rush Ranch,2017-04-07,62.0,47.0,1.23,61.0,47.0,1.92,64.0,48.0,1.2,62.0,47.0,1.23
2017 Rush Ranch,2017-04-08,63.0,42.0,0.71,57.0,40.0,0.67,64.0,46.0,0.71,63.0,42.0,0.81
2017 Rush Ranch,2017-04-09,63.0,40.0,0.0,63.0,40.0,0.0,63.0,40.0,0.0,60.0,39.0,0.02
2017 Rush Ranch,2017-04-10,66.0,42.0,0.0,67.0,40.0,0.0,66.0,44.0,0.0,66.0,42.0,0.0
2017 Rush Ranch,2017-04-11,67.0,47.0,0.0,66.0,53.0,0.0,67.0,44.0,0.0,70.0,47.0,0.0
2017 Rush Ranch,2017-04-12,66.0,53.0,0.0,65.0,54.0,0.05,67.0,44.0,0.0,66.0,53.0,0.0
2017 Rush Ranch,2017-04-13,67.0,49.0,0.06,,47.0,0.0,67.0,50.0,0.15,67.0,49.0,0.06
2017 Rush Ranch,2017-04-14,64.0,44.0,0.0,64.0,44.0,0.0,64.0,44.0,0.0,63.0,42.0,0.08
2017 Rush Ranch,2017-04-15,68.0,45.0,0.0,69.0,47.0,0.0,68.0,43.0,0.0,65.0,45.0,0.0
2017 Rush Ranch,2017-04-16,68.0,46.0,0.14,67.0,48.0,0.32,68.0,43.0,0.14,71.0,46.0,0.0
2017 Rush Ranch,2017-04-17,62.0,50.0,0.31,62.0,52.0,0.31,63.0,43.0,0.1,58.0,50.0,0.31
2017 Rush Ranch,2017-04-18,68.0,52.0,0.11,70.0,53.0,0.06,68.0,43.0,0.11,65.0,52.0,0.21
2017 Rush Ranch,2017-04-19,70.0,48.0,0.0,69.0,44.0,0.0,70.0,48.0,0.0,75.0,50.0,0.0
2017 Rush Ranch,2017-04-20,70.0,48.0,0.07,70.0,48.0,0.07,70.0,53.0,0.5,70.0,47.0,0.0
2017 Rush Ranch,2017-04-21,75.0,51.0,0.0,77.0,54.0,0.0,75.0,51.0,0.0,71.0,50.0,0.0
2017 Rush Ranch,2017-04-22,76.0,52.0,0.0,76.0,48.0,0.0,74.0,53.0,0.0,83.0,52.0,0.0
2017 Rush Ranch,2017-04-23,76.0,52.0,0.0,76.0,48.0,0.0,78.0,52.0,0.0,75.0,54.0,0.0
2017 Rush Ranch,2017-04-24,69.0,54.0,0.0,65.0,52.0,0.0,69.0,54.0,0.0,77.0,54.0,0.0
2017 Rush Ranch,2017-04-25,69.0,54.0,0.0,70.0,53.0,0.0,69.0,54.0,0.0,65.0,54.0,0.0
2017 Rush Ranch,2017-04-26,68.0,56.0,0.0,66.0,56.0,0.0,68.0,58.0,0.0,73.0,55.0,0.0
2017 Rush Ranch,2017-04-27,74.0,50.0,0.0,74.0,48.0,0.0,74.0,52.0,0.0,70.0,50.0,0.0
2017 Rush Ranch,2017-04-28,75.0,49.0,0.0,75.0,48.0,0.0,74.0,49.0,0.0,79.0,50.0,0.0
2017 Rush Ranch,2017-04-29,80.0,50.0,0.0,82.0,56.0,0.0,80.0,49.0,0.0,74.0,50.0,0.0
2017 Rush Ranch,2017-04-30,83.0,51.0,0.0,83.0,50.0,0.0,83.0,53.0,0.0,83.0,51.0,0.0
2017 Rush Ranch,2017-05-01,88.0,57.0,0.0,91.0,56.0,0.0,87.0,57.0,0.0,88.0,59.0,0.0
2017 Rush Ranch,2017-05-02,91.0,64.0,0.0,92.0,64.0,0.0,91.0,56.0,0.0,90.0,67.0,0.0
2017 Rush Ranch,2017-05-03,91.0,64.0,0.0,92.0,64.0,0.0,91.0,47.0,0.0,91.0,71.0,0.0
2017 Rush Ranch,2017-05-04,91.0,60.0,0.0,89.0,60.0,0.0,91.0,59.0,0.0,97.0,61.0,0.0
2017 Rush Ranch,2017-05-05,79.0,53.0,0.0,74.0,52.0,0.0,79.0,55.0,0.0,92.0,53.0,0.0
2017 Rush Ranch,2017-05-06,74.0,50.0,0.0,67.0,49.0,0.0,74.0,51.0,0.0,81.0,50.0,0.0
2017 Rush Ranch,2017-05-07,74.0,51.0,0.0,76.0,50.0,0.0,74.0,52.0,0.0,73.0,51.0,0.0
2017 Rush Ranch,2017-05-08,81.0,50.0,0.0,81.0,50.0,0.0,80.0,53.0,0.0,81.0,50.0,0.0
2017 Rush Ranch,2017-05-09,86.0,52.0,0.0,86.0,52.0,0.0,84.0,55.0,0.0,89.0,52.0,0.0
