site,date,tmax,tmin,prcp,S1 Tmax,S1 Tmin,S1 Prcp,S2 Tmax,S2 Tmin,S2 Prcp,S3 Tmax,S3 Tmin,S3 Prcp
2017 Rush Ranch,2017-01-01,53.75,38.75,0.0,54.0,35.0,0.0,55.0,42.0,0.0,53.0,39.0,0.0
2017 Rush Ranch,2017-01-02,52.0,40.75,0.1125,53.0,41.0,0.03,55.0,42.0,0.2,50.0,40.0,0.11
2017 Rush Ranch,2017-01-03,50.25,44.25,0.9575,50.0,44.0,0.31,53.0,45.0,0.3,49.0,44.0,1.61
2017 Rush Ranch,2017-01-04,54.25,47.75,0.8875,52.0,46.0,0.95,57.0,51.0,0.8,54.0,47.0,0.9
2017 Rush Ranch,2017-01-05,50.75,38.25,0.1025,50.0,38.0,0.0,51.0,41.0,0.35,51.0,37.0,0.03
2017 Rush Ranch,2017-01-06,47.5,29.5,0.0,44.0,31.0,0.0,50.0,31.0,0.0,48.0,28.0,0.0
2017 Rush Ranch,2017-01-07,55.0,38.5,0.39,50.0,38.0,0.0,60.0,40.0,0.28,55.0,38.0,0.64
2017 Rush Ranch,2017-01-08,61.25,53.25,1.68,63.0,50.0,1.04,62.0,55.0,1.66,60.0,54.0,2.01
2017 Rush Ranch,2017-01-09,59.25,50.25,0.41000000000000003,59.0,51.0,0.27,60.0,52.0,0.85,59.0,49.0,0.26
2017 Rush Ranch,2017-01-10,57.5,49.0,2.25,57.0,52.0,1.23,57.0,42.0,1.45,58.0,51.0,3.16
2017 Rush Ranch,2017-01-11,57.25,48.5,0.33499999999999996,56.0,50.0,0.14,59.0,50.0,1.2,57.0,47.0,0.0
2017 Rush Ranch,2017-01-12,50.5,41.75,0.255,50.0,39.0,0.11,58.0,44.0,0.19,47.0,42.0,0.36
2017 Rush Ranch,2017-01-13,57.5,36.75,0.0025,57.0,38.0,0.01,59.0,37.0,0.0,57.0,36.0,0.0
2017 Rush Ranch,2017-01-14,54.75,37.0,0.0,52.0,37.0,0.0,59.0,37.0,0.0,54.0,37.0,0.0
2017 Rush Ranch,2017-01-15,51.25,36.25,0.0025,48.0,36.0,0.01,55.0,39.0,0.0,51.0,35.0,0.0
2017 Rush Ranch,2017-01-16,51.5,35.0,0.0,50.0,36.0,0.0,54.0,36.0,0.0,51.0,34.0,0.0
2017 Rush Ranch,2017-01-17,50.25,35.5,0.0,45.0,34.0,0.0,54.0,36.0,0.0,51.0,36.0,0.0
2017 Rush Ranch,2017-01-18,48.75,42.25,0.9175,48.0,44.0,0.69,51.0,43.0,0.4,48.0,41.0,1.29
2017 Rush Ranch,2017-01-19,58.25,44.25,0.615,60.0,44.0,0.04,59.0,43.0,0.6,57.0,45.0,0.91
2017 Rush Ranch,2017-01-20,55.5,45.0,0.8400000000000001,53.0,46.0,0.52,59.0,42.0,0.8,55.0,46.0,1.02
2017 Rush Ranch,2017-01-21,56.75,46.5,0.125,56.0,44.0,0.28,59.0,52.0,0.22,56.0,45.0,0.0
2017 Rush Ranch,2017-01-22,57.25,43.75,0.885,57.0,44.0,0.37,58.0,47.0,0.25,57.0,42.0,1.46
