site,date,tmax,tmin,prcp,S1 Tmax,S1 Tmin,S1 Prcp,S2 Tmax,S2 Tmin,S2 Prcp,S3 Tmax,S3 Tmin,S3 Prcp
2017 Rush Ranch,2017-01-23,52.0,40.75,0.1825,53.0,42.0,0.15,53.0,43.0,0.4,51.0,39.0,0.09
2017 Rush Ranch,2017-01-24,54.0,40.25,0.01,52.0,37.0,0.0,54.0,42.0,0.0,55.0,41.0,0.02
2017 Rush Ranch,2017-01-25,55.0,36.25,0.0,54.0,37.0,0.0,56.0,36.0,0.0,55.0,36.0,0.0
2017 Rush Ranch,2017-01-26,56.5,39.25,0.0,55.0,41.0,0.0,57.0,36.0,0.0,57.0,40.0,0.0
2017 Rush Ranch,2017-01-27,59.25,39.0,0.0,57.0,38.0,0.0,60.0,36.0,0.0,60.0,41.0,0.0
2017 Rush Ranch,2017-01-28,59.5,36.75,0.0,57.0,37.0,0.0,61.0,36.0,0.0,60.0,37.0,0.0
2017 Rush Ranch,2017-01-29,62.0,36.0,0.0,63.0,37.0,0.0,63.0,35.0,0.0,61.0,36.0,0.0
2017 Rush Ranch,2017-01-30,61.0,36.5,0.0,58.0,36.0,0.0,62.0,36.0,0.0,62.0,37.0,0.0
2017 Rush Ranch,2017-01-31,59.5,36.5,0.0025,56.0,36.0,0.01,60.0,36.0,0.0,61.0,37.0,0.0
2017 Rush Ranch,2017-02-01,53.75,40.75,0.0,51.0,43.0,0.0,58.0,36.0,0.0,53.0,42.0,0.0
2017 Rush Ranch,2017-02-02,62.0,46.75,0.2425,63.0,47.0,0.13,65.0,48.0,0.1,60.0,46.0,0.37
2017 Rush Ranch,2017-02-03,62.5,53.25,0.76,63.0,51.0,0.46,65.0,56.0,0.7,61.0,53.0,0.94
2017 Rush Ranch,2017-02-04,62.25,51.5,0.2875,66.0,48.0,0.01,65.0,52.0,0.24,59.0,53.0,0.45
2017 Rush Ranch,2017-02-05,61.25,46.75,0.1225,63.0,48.0,0.15,62.0,47.0,0.0,60.0,46.0,0.17
2017 Rush Ranch,2017-02-06,58.75,52.75,0.3325,60.0,52.0,0.24,59.0,53.0,0.35,58.0,53.0,0.37
2017 Rush Ranch,2017-02-07,63.5,54.0,1.565,67.0,54.0,0.65,63.0,54.0,1.55,62.0,54.0,2.03
2017 Rush Ranch,2017-02-08,63.0,56.0,0.665,66.0,56.0,0.16,64.0,56.0,0.4,61.0,56.0,1.05
2017 Rush Ranch,2017-02-09,62.5,57.25,0.625,63.0,56.0,0.41,63.0,59.0,0.55,62.0,57.0,0.77
2017 Rush Ranch,2017-02-10,63.25,53.25,0.055,63.0,54.0,0.1,64.0,55.0,0.1,63.0,52.0,0.01
2017 Rush Ranch,2017-02-11,64.75,43.25,0.0,62.0,46.0,0.0,65.0,45.0,0.0,66.0,41.0,0.0
2017 Rush Ranch,2017-02-12,65.0,42.75,0.0,63.0,45.0,0.0,67.0,40.0,0.0,65.0,43.0,0.0
2017 Rush Ranch,2017-02-13,64.0,41.5,0.0,65.0,42.0,0.0,67.0,42.0,0.0,62.0,41.0,0.0
2017 Rush Ranch,2017-02-14,66.5,44.0,0.0,65.0,44.0,0.0,67.0,46.0,0.0,67.0,43.0,0.0
2017 Rush Ranch,2017-02-15,63.0,48.75,0.0,61.0,46.0,0.0,67.0,49.0,0.0,62.0,50.0,0.0
2017 Rush Ranch,2017-02-16,66.0,51.75,0.2,69.0,52.0,0.03,67.0,49.0,0.25,64.0,53.0,0.26
2017 Rush Ranch,2017-02-17,59.25,50.25,0.73,56.0,52.0,0.51,67.0,49.0,0.45,57.0,50.0,0.98
2017 Rush Ranch,2017-02-18,58.75,50.25,0.3125,58.0,49.0,0.05,59.0,50.0,0.2,59.0,51.0,0.5
2017 Rush Ranch,2017-02-19,55.25,46.25,0.275,54.0,46.0,0.29,57.0,47.0,0.07,55.0,46.0,0.37
2017 Rush Ranch,2017-02-20,56.75,51.0,2.0075,59.0,52.0,1.67,58.0,52.0,0.9,55.0,50.0,2.73
2017 Rush Ranch,2017-02-21,60.0,49.25,0.475,62.0,49.0,0.1,60.0,50.0,1.2,59.0,49.0,0.3
2017 Rush Ranch,2017-02-22,55.75,40.75,0.0425,55.0,41.0,0.01,56.0,42.0,0.0,56.0,40.0,0.08
2017 Rush Ranch,2017-02-23,55.25,39.75,0.04,53.0,40.0,0.0,56.0,39.0,0.0,56.0,40.0,0.08
2017 Rush Ranch,2017-02-24,55.75,37.0,0.005,55.0,36.0,0.0,56.0,36.0,0.0,56.0,38.0,0.01
2017 Rush Ranch,2017-02-25,56.25,35.5,0.0,55.0,40.0,0.0,60.0,36.0,0.0,55.0,33.0,0.0
2017 Rush Ranch,2017-02-26,56.75,35.25,0.0025,58.0,36.0,0.01,59.0,35.0,0.0,55.0,35.0,0.0
2017 Rush Ranch,2017-02-27,56.25,37.5,0.0025,55.0,40.0,0.01,58.0,40.0,0.0,56.0,35.0,0.0
2017 Rush Ranch,2017-02-28,59.25,39.5,0.0,58.0,42.0,0.0,61.0,38.0,0.0,59.0,39.0,0.0
2017 Rush Ranch,2017-03-01,63.5,39.0,0.0,64.0,40.0,0.0,64.0,38.0,0.0,63.0,39.0,0.0
2017 Rush Ranch,2017-03-02,66.5,38.75,0.0,66.0,39.0,0.0,68.0,38.0,0.0,66.0,39.0,0.0
2017 Rush Ranch,2017-03-03,67.5,41.0,0.0,67.0,42.0,0.0,69.0,38.0,0.0,67.0,42.0,0.0
2017 Rush Ranch,2017-03-04,66.5,46.75,0.05,64.0,48.0,0.14,68.0,49.0,0.0,67.0,45.0,0.03
2017 Rush Ranch,2017-03-05,55.5,40.75,0.535,52.0,40.0,0.26,60.0,43.0,0.32,55.0,40.0,0.78
2017 Rush Ranch,2017-03-06,55.5,40.25,0.0875,55.0,40.0,0.03,57.0,41.0,0.1,55.0,40.0,0.11
2017 Rush Ranch,2017-03-07,59.25,39.5,0.0,60.0,40.0,0.0,61.0,40.0,0.0,58.0,39.0,0.0
2017 Rush Ranch,2017-03-08,68.25,42.75,0.0,67.0,43.0,0.0,70.0,42.0,0.0,68.0,43.0,0.0
2017 Rush Ranch,2017-03-09,73.0,48.25,0.0,72.0,50.0,0.0,74.0,43.0,0.0,73.0,50.0,0.0
2017 Rush Ranch,2017-03-10,72.75,52.75,0.0,72.0,53.0,0.0,73.0,54.0,0.0,73.0,52.0,0.0
2017 Rush Ranch,2017-03-11,76.5,50.75,0.0,78.0,51.0,0.0,76.0,50.0,0.0,76.0,51.0,0.0
2017 Rush Ranch,2017-03-12,76.75,50.5,0.0,77.0,54.0,0.0,78.0,50.0,0.0,76.0,49.0,0.0
2017 Rush Ranch,2017-03-13,76.5,47.75,0.0,75.0,48.0,0.0,79.0,49.0,0.0,76.0,47.0,0.0
2017 Rush Ranch,2017-03-14,78.25,50.75,0.0,78.0,52.0,0.0,79.0,49.0,0.0,78.0,51.0,0.0
2017 Rush Ranch,2017-03-15,73.5,51.25,0.0,69.0,54.0,0.0,77.0,49.0,0.0,74.0,51.0,0.0
2017 Rush Ranch,2017-03-16,73.25,54.0,0.0,72.0,53.0,0.0,73.0,55.0,0.0,74.0,54.0,0.0
2017 Rush Ranch,2017-03-17,75.75,48.0,0.0,76.0,48.0,0.0,77.0,48.0,0.0,75.0,48.0,0.0
2017 Rush Ranch,2017-03-18,73.25,52.0,0.0,68.0,54.0,0.0,79.0,48.0,0.0,73.0,53.0,0.0
2017 Rush Ranch,2017-03-19,70.0,53.0,0.0,70.0,54.0,0.0,70.0,54.0,0.0,70.0,52.0,0.0
2017 Rush Ranch,2017-03-20,65.0,53.0,0.1475,65.0,52.0,0.15,69.0,52.0,0.0,63.0,54.0,0.22
2017 Rush Ranch,2017-03-21,67.5,54.5,1.0350000000000001,69.0,56.0,0.34,69.0,52.0,0.6,66.0,55.0,1.6
2017 Rush Ranch,2017-03-22,63.5,50.5,0.2425,62.0,51.0,0.47,68.0,51.0,0.5,62.0,50.0,0.0
2017 Rush Ranch,2017-03-23,63.5,44.5,0.0,64.0,47.0,0.0,64.0,45.0,0.0,63.0,43.0,0.0
2017 Rush Ranch,2017-03-24,58.5,50.25,0.365,55.0,51.0,0.09,65.0,52.0,0.25,57.0,49.0,0.56
2017 Rush Ranch,2017-03-25,65.0,47.25,0.03,65.0,50.0,0.0,65.0,49.0,0.0,65.0,45.0,0.06
2017 Rush Ranch,2017-03-26,64.0,47.0,0.04,67.0,48.0,0.02,65.0,48.0,0.0,62.0,46.0,0.07
2017 Rush Ranch,2017-03-27,65.75,46.0,0.03,66.0,50.0,0.0,65.0,48.0,0.0,66.0,43.0,0.06
2017 Rush Ranch,2017-03-28,73.75,50.75,0.0,72.0,54.0,0.0,75.0,47.0,0.0,74.0,51.0,0.0
2017 Rush Ranch,2017-03-29,77.5,50.25,0.0,79.0,52.0,0.0,77.0,47.0,0.0,77.0,51.0,0.0
2017 Rush Ranch,2017-03-30,72.0,52.75,0.0,66.0,54.0,0.0,78.0,53.0,0.0,,52.0,0.0
2017 Rush Ranch,2017-03-31,71.5,52.0,0.0,68.0,53.0,0.0,72.0,53.0,0.0,73.0,51.0,0.0
2017 Rush Ranch,2017-04-01,77.75,52.5,0.0,79.0,50.0,0.0,78.0,50.0,0.0,77.0,55.0,0.0
2017 Rush Ranch,2017-04-02,80.75,50.5,0.0,79.0,50.0,0.0,80.0,52.0,0.0,82.0,50.0,0.0
2017 Rush Ranch,2017-04-03,78.0,50.25,0.0,76.0,52.0,0.0,80.0,51.0,0.0,,49.0,0.0
2017 Rush Ranch,2017-04-04,75.0,50.0,0.0,76.0,52.0,0.0,78.0,52.0,0.0,73.0,48.0,0.0
2017 Rush Ranch,2017-04-05,74.75,50.75,0.0,76.0,52.0,0.0,75.0,53.0,0.0,74.0,49.0,0.0
2017 Rush Ranch,2017-04-06,69.0,53.5,0.0,63.0,55.0,0.0,75.0,57.0,0.0,69.0,51.0,0.0
2017 Rush Ranch,2017-04-07,62.75,48.0,1.26,65.0,50.0,0.0,64.0,48.0,1.2,61.0,47.0,1.92
2017 Rush Ranch,2017-04-08,59.0,42.75,0.5125,58.0,45.0,0.0,64.0,46.0,0.71,57.0,40.0,0.67
2017 Rush Ranch,2017-04-09,63.0,40.0,0.0,63.0,40.0,0.0,63.0,40.0,0.0,63.0,40.0,0.0
2017 Rush Ranch,2017-04-10,66.75,41.5,0.0,67.0,42.0,0.0,66.0,44.0,0.0,67.0,40.0,0.0
2017 Rush Ranch,2017-04-11,67.0,51.0,0.0,69.0,54.0,0.0,67.0,44.0,0.0,66.0,53.0,0.0
2017 Rush Ranch,2017-04-12,66.25,52.0,0.025,68.0,56.0,0.0,67.0,44.0,0.0,65.0,54.0,0.05
2017 Rush Ranch,2017-04-13,65.0,47.75,0.0375,63.0,47.0,0.0,67.0,50.0,0.15,,47.0,0.0
2017 Rush Ranch,2017-04-14,64.0,44.5,0.0,64.0,46.0,0.0,64.0,44.0,0.0,64.0,44.0,0.0
2017 Rush Ranch,2017-04-15,68.25,46.25,0.0,67.0,48.0,0.0,68.0,43.0,0.0,69.0,47.0,0.0
2017 Rush Ranch,2017-04-16,65.25,47.25,0.195,59.0,50.0,0.0,68.0,43.0,0.14,67.0,48.0,0.32
2017 Rush Ranch,2017-04-17,62.5,50.25,0.18,63.0,54.0,0.0,63.0,43.0,0.1,62.0,52.0,0.31
2017 Rush Ranch,2017-04-18,70.0,50.5,0.057499999999999996,72.0,53.0,0.0,68.0,43.0,0.11,70.0,53.0,0.06
2017 Rush Ranch,2017-04-19,69.75,45.75,0.0,71.0,47.0,0.0,70.0,48.0,0.0,69.0,44.0,0.0
2017 Rush Ranch,2017-04-20,69.75,50.0,0.16,69.0,51.0,0.0,70.0,53.0,0.5,70.0,48.0,0.07
2017 Rush Ranch,2017-04-21,77.0,53.25,0.0,79.0,54.0,0.0,75.0,51.0,0.0,77.0,54.0,0.0
2017 Rush Ranch,2017-04-22,74.0,49.5,0.0,70.0,49.0,0.0,74.0,53.0,0.0,76.0,48.0,0.0
2017 Rush Ranch,2017-04-23,75.5,50.25,0.0,72.0,53.0,0.0,78.0,52.0,0.0,76.0,48.0,0.0
2017 Rush Ranch,2017-04-24,65.5,53.0,0.0,63.0,54.0,0.0,69.0,54.0,0.0,65.0,52.0,0.0
2017 Rush Ranch,2017-04-25,69.75,53.25,0.0,70.0,53.0,0.0,69.0,54.0,0.0,70.0,53.0,0.0
2017 Rush Ranch,2017-04-26,68.0,56.75,0.0,72.0,57.0,0.0,68.0,58.0,0.0,66.0,56.0,0.0
2017 Rush Ranch,2017-04-27,74.25,50.75,0.0,75.0,55.0,0.0,74.0,52.0,0.0,74.0,48.0,0.0
2017 Rush Ranch,2017-04-28,74.5,50.25,0.0,74.0,56.0,0.0,74.0,49.0,0.0,75.0,48.0,0.0
2017 Rush Ranch,2017-04-29,81.5,54.75,0.0,82.0,58.0,0.0,80.0,49.0,0.0,82.0,56.0,0.0
2017 Rush Ranch,2017-04-30,83.0,51.5,0.0,83.0,53.0,0.0,83.0,53.0,0.0,83.0,50.0,0.0
2017 Rush Ranch,2017-05-01,89.75,58.25,0.0,90.0,64.0,0.0,87.0,57.0,0.0,91.0,56.0,0.0
2017 Rush Ranch,2017-05-02,91.75,63.75,0.0,92.0,71.0,0.0,91.0,56.0,0.0,92.0,64.0,0.0
2017 Rush Ranch,2017-05-03,91.75,61.0,0.0,92.0,69.0,0.0,91.0,47.0,0.0,92.0,64.0,0.0
2017 Rush Ranch,2017-05-04,89.5,59.5,0.0,89.0,59.0,0.0,91.0,59.0,0.0,89.0,60.0,0.0
2017 Rush Ranch,2017-05-05,76.0,53.25,0.0,77.0,54.0,0.0,79.0,55.0,0.0,74.0,52.0,0.0
2017 Rush Ranch,2017-05-06,69.25,49.75,0.0,69.0,50.0,0.0,74.0,51.0,0.0,67.0,49.0,0.0
2017 Rush Ranch,2017-05-07,75.5,51.75,0.0,76.0,55.0,0.0,74.0,52.0,0.0,76.0,50.0,0.0
2017 Rush Ranch,2017-05-08,81.25,51.25,0.0,83.0,52.0,0.0,80.0,53.0,0.0,81.0,50.0,0.0
2017 Rush Ranch,2017-05-09,86.0,53.25,0.0,88.0,54.0,0.0,84.0,55.0,0.0,86.0,52.0,0.0
2017 Rush Ranch,2017-05-10,80.5,56.25,0.0,75.0,54.0,0.0,83.0,65.0,0.0,82.0,53.0,0.0
2017 Rush Ranch,2017-05-11,73.0,51.75,0.0,72.0,52.0,0.0,82.0,53.0,0.0,69.0,51.0,0.0
2017 Rush Ranch,2017-05-12,69.5,48.0,0.0,69.0,50.0,0.0,69.0,52.0,0.0,70.0,45.0,0.0
2017 Rush Ranch,2017-05-13,69.5,48.5,0.0,69.0,49.0,0.0,69.0,49.0,0.0,70.0,48.0,0.0
2017 Rush Ranch,2017-05-14,70.25,45.0,0.0,70.0,46.0,0.0,69.0,48.0,0.0,71.0,43.0,0.0
2017 Rush Ranch,2017-05-15,72.75,47.0,0.0,74.0,49.0,0.0,73.0,51.0,0.0,72.0,44.0,0.0
2017 Rush Ranch,2017-05-16,70.25,49.5,0.0,69.0,51.0,0.0,74.0,51.0,0.0,69.0,48.0,0.0
2017 Rush Ranch,2017-05-17,75.0,51.0,0.0,,,,74.0,51.0,0.0,76.0,51.0,0.0
2017 Rush Ranch,2017-05-18,84.5,50.5,0.0,,,,83.0,51.0,0.0,86.0,50.0,0.0
2017 Rush Ranch,2017-05-19,89.0,52.0,0.0,,,,88.0,54.0,0.0,90.0,50.0,0.0
2017 Rush Ranch,2017-05-20,91.0,57.5,0.0,,,,91.0,57.0,0.0,91.0,58.0,0.0
2017 Rush Ranch,2017-05-21,93.0,58.0,0.0,,,,92.0,58.0,0.0,94.0,58.0,0.0
2017 Rush Ranch,2017-05-22,94.5,55.0,0.0,,,,93.0,55.0,0.0,96.0,55.0,0.0
2017 Rush Ranch,2017-05-23,93.0,54.5,0.0,,,,93.0,55.0,0.0,,54.0,0.0
2017 Rush Ranch,2017-05-24,79.5,53.0,0.0,,,,85.0,53.0,0.0,74.0,53.0,0.0
2017 Rush Ranch,2017-05-25,67.5,55.0,0.0,,,,70.0,55.0,0.0,65.0,55.0,0.0
2017 Rush Ranch,2017-05-26,69.0,54.5,0.0,,,,70.0,55.0,0.0,68.0,54.0,0.0
2017 Rush Ranch,2017-05-27,75.5,51.5,0.0,,,,75.0,52.0,0.0,76.0,51.0,0.0
2017 Rush Ranch,2017-05-28,79.0,52.0,0.0,,,,78.0,53.0,0.0,80.0,51.0,0.0
2017 Rush Ranch,2017-05-29,79.0,53.0,0.0,,,,79.0,53.0,0.0,79.0,53.0,0.0
2017 Rush Ranch,2017-05-30,73.5,52.5,0.0,,,,74.0,53.0,0.0,73.0,52.0,0.0
2017 Rush Ranch,2017-05-31,78.0,54.0,0.0,,,,77.0,53.0,0.0,79.0,55.0,0.0
2017 Rush Ranch,2017-06-01,81.0,57.0,0.0,,,,80.0,58.0,0.0,82.0,56.0,0.0
2017 Rush Ranch,2017-06-02,87.5,55.5,0.0,,,,85.0,56.0,0.0,90.0,55.0,0.0
2017 Rush Ranch,2017-06-03,87.0,58.0,0.0,,,,88.0,57.0,0.0,86.0,59.0,0.0
2017 Rush Ranch,2017-06-04,82.5,55.0,0.0,,,,84.0,55.0,0.0,81.0,55.0,0.0
2017 Rush Ranch,2017-06-05,85.0,52.5,0.0,,,,88.0,54.0,0.0,82.0,51.0,0.0
2017 Rush Ranch,2017-06-06,86.5,54.0,0.0,,,,88.0,55.0,0.0,85.0,53.0,0.0
2017 Rush Ranch,2017-06-07,80.0,54.5,0.0,,,,84.0,54.0,0.0,76.0,55.0,0.0
2017 Rush Ranch,2017-06-08,70.5,57.5,0.035,,,,72.0,59.0,0.0,69.0,56.0,0.07
2017 Rush Ranch,2017-06-09,74.0,59.5,0.0,,,,74.0,61.0,0.0,74.0,58.0,0.0
2017 Rush Ranch,2017-06-10,73.0,53.0,0.0,,,,73.0,55.0,0.0,73.0,51.0,0.0
2017 Rush Ranch,2017-06-11,71.5,52.0,0.125,,,,72.0,53.0,0.0,71.0,51.0,0.25
2017 Rush Ranch,2017-06-12,73.0,49.5,0.0,,,,72.0,53.0,0.0,74.0,46.0,0.0
2017 Rush Ranch,2017-06-13,81.5,52.0,0.0,,,,81.0,53.0,0.0,82.0,51.0,0.0
2017 Rush Ranch,2017-06-14,88.5,56.5,0.0,,,,87.0,58.0,0.0,90.0,55.0,0.0
2017 Rush Ranch,2017-06-15,90.0,54.5,0.0,,,,89.0,53.0,0.0,91.0,56.0,0.0
2017 Rush Ranch,2017-06-16,95.0,64.5,0.0,,,,94.0,65.0,0.0,96.0,64.0,0.0
2017 Rush Ranch,2017-06-17,98.0,68.0,0.0,,,,96.0,69.0,0.0,100.0,67.0,0.0
2017 Rush Ranch,2017-06-18,104.5,70.0,0.0,,,,103.0,73.0,0.0,106.0,67.0,0.0
2017 Rush Ranch,2017-06-19,103.0,70.5,0.0,,,,103.0,68.0,0.0,,73.0,0.0
2017 Rush Ranch,2017-06-20,99.5,65.5,0.0,,,,100.0,63.0,0.0,99.0,68.0,0.0
2017 Rush Ranch,2017-06-21,99.0,61.0,0.0,,,,97.0,62.0,0.0,101.0,60.0,0.0
2017 Rush Ranch,2017-06-22,102.5,68.5,0.0,,,,101.0,67.0,0.0,104.0,70.0,0.0
2017 Rush Ranch,2017-06-23,97.5,63.0,0.0,,,,102.0,61.0,0.0,93.0,65.0,0.0
2017 Rush Ranch,2017-06-24,89.5,59.0,0.0,,,,88.0,58.0,0.0,91.0,60.0,0.0
2017 Rush Ranch,2017-06-25,83.0,57.5,0.0,,,,83.0,58.0,0.0,,57.0,0.0
2017 Rush Ranch,2017-06-26,80.0,58.0,0.0,,,,79.0,59.0,0.0,81.0,57.0,0.0
2017 Rush Ranch,2017-06-27,81.0,57.5,0.0,,,,80.0,59.0,0.0,82.0,56.0,0.0
2017 Rush Ranch,2017-06-28,84.5,55.5,0.0,,,,84.0,56.0,0.0,85.0,55.0,0.0
2017 Rush Ranch,2017-06-29,88.0,56.0,0.0,,,,86.0,56.0,0.0,90.0,56.0,0.0
2017 Rush Ranch,2017-06-30,86.5,55.0,0.0,,,,87.0,55.0,0.0,86.0,55.0,0.0
2017 Rush Ranch,2017-07-01,85.5,55.0,0.0,,,,85.0,55.0,0.0,86.0,55.0,0.0
2017 Rush Ranch,2017-07-02,84.5,56.0,0.0,,,,85.0,55.0,0.0,84.0,57.0,0.0
2017 Rush Ranch,2017-07-03,84.0,56.5,0.0,,,,84.0,56.0,0.0,84.0,57.0,0.0
2017 Rush Ranch,2017-07-04,86.5,55.5,0.0,,,,84.0,55.0,0.0,89.0,56.0,0.0
2017 Rush Ranch,2017-07-05,89.0,55.0,0.0,,,,87.0,55.0,0.0,91.0,55.0,0.0
2017 Rush Ranch,2017-07-06,97.0,57.5,0.0,,,,94.0,58.0,0.0,100.0,57.0,0.0
2017 Rush Ranch,2017-07-07,105.5,62.5,0.0,,,,104.0,63.0,0.0,107.0,62.0,0.0
2017 Rush Ranch,2017-07-08,105.5,67.0,0.0,,,,104.0,67.0,0.0,107.0,,0.0
2017 Rush Ranch,2017-07-09,98.5,58.0,0.0,,,,100.0,59.0,0.0,97.0,57.0,0.0
2017 Rush Ranch,2017-07-10,94.0,59.0,0.0,,,,96.0,60.0,0.0,92.0,58.0,0.0
2017 Rush Ranch,2017-07-11,90.0,57.5,0.0,,,,90.0,59.0,0.0,90.0,56.0,0.0
2017 Rush Ranch,2017-07-12,90.0,58.0,0.0,,,,91.0,59.0,0.0,89.0,57.0,0.0
2017 Rush Ranch,2017-07-13,90.0,57.0,0.0,,,,91.0,57.0,0.0,89.0,57.0,0.0
2017 Rush Ranch,2017-07-14,92.0,57.0,0.0,,,,91.0,57.0,0.0,93.0,57.0,0.0
2017 Rush Ranch,2017-07-15,98.0,58.5,0.0,,,,97.0,59.0,0.0,99.0,58.0,0.0
2017 Rush Ranch,2017-07-16,103.5,67.0,0.0,,,,103.0,68.0,0.0,104.0,66.0,0.0
2017 Rush Ranch,2017-07-17,95.5,67.0,0.0,,,,95.0,69.0,0.0,96.0,65.0,0.0
2017 Rush Ranch,2017-07-18,86.0,56.5,0.0,,,,82.0,57.0,0.0,90.0,56.0,0.0
2017 Rush Ranch,2017-07-19,90.0,56.5,0.0,,,,89.0,58.0,0.0,91.0,55.0,0.0
2017 Rush Ranch,2017-07-20,89.5,58.5,0.0,,,,90.0,58.0,0.0,89.0,59.0,0.0
2017 Rush Ranch,2017-07-21,91.0,58.5,0.0,,,,90.0,58.0,0.0,92.0,59.0,0.0
2017 Rush Ranch,2017-07-22,97.5,57.5,0.0,,,,95.0,58.0,0.0,100.0,57.0,0.0
2017 Rush Ranch,2017-07-23,99.0,61.5,0.0,,,,98.0,59.0,0.0,100.0,64.0,0.0
2017 Rush Ranch,2017-07-24,81.5,57.5,0.0,,,,77.0,57.0,0.0,86.0,58.0,0.0
2017 Rush Ranch,2017-07-25,86.0,57.5,0.0,,,,85.0,58.0,0.0,87.0,57.0,0.0
2017 Rush Ranch,2017-07-26,89.5,59.0,0.0,,,,87.0,60.0,0.0,92.0,58.0,0.0
2017 Rush Ranch,2017-07-27,95.5,57.0,0.0,,,,92.0,57.0,0.0,99.0,57.0,0.0
2017 Rush Ranch,2017-07-28,92.5,60.0,0.0,,,,90.0,60.0,0.0,95.0,60.0,0.0
2017 Rush Ranch,2017-07-29,89.0,58.0,0.0,,,,89.0,59.0,0.0,89.0,57.0,0.0
2017 Rush Ranch,2017-07-30,90.0,56.0,0.0,,,,88.0,57.0,0.0,92.0,55.0,0.0
2017 Rush Ranch,2017-07-31,93.5,58.0,0.0,,,,92.0,57.0,0.0,95.0,59.0,0.0
2017 Rush Ranch,2017-08-01,98.0,59.5,0.0,,,,95.0,60.0,0.0,101.0,59.0,0.0
2017 Rush Ranch,2017-08-02,96.5,64.0,0.0,,,,95.0,64.0,0.0,98.0,64.0,0.0
2017 Rush Ranch,2017-08-03,97.0,69.5,0.0,,,,97.0,70.0,0.0,97.0,69.0,0.0
2017 Rush Ranch,2017-08-04,92.5,71.0,0.0,,,,97.0,70.0,0.0,88.0,72.0,0.0
2017 Rush Ranch,2017-08-05,86.0,63.0,0.0,,,,85.0,64.0,0.0,87.0,62.0,0.0
2017 Rush Ranch,2017-08-06,82.5,59.0,0.0,,,,80.0,60.0,0.0,85.0,58.0,0.0
2017 Rush Ranch,2017-08-07,84.0,59.5,0.0,,,,83.0,60.0,0.0,85.0,59.0,0.0
2017 Rush Ranch,2017-08-08,86.0,59.5,0.0,,,,83.0,60.0,0.0,89.0,59.0,0.0
